DISPLAY_NAME,COUNTRY_CODE,ID
National Institute of Mental Health,US,149
National Institute of General Medical Sciences,US,148
Ministero della Salute,IT,144
Centro de Investigación Biomédica en Red Enfermedades Cardiovasculares,ES,142
Commissariat à l'Énergie Atomique et aux Énergies Alternatives,FR,142
China Postdoctoral Science Foundation,CN,141
Institut National de la Santé et de la Recherche Médicale,FR,140
National Institute of Neurological Disorders and Stroke,US,138
German-Israeli Foundation for Scientific Research and Development,IL,137
Sociedad Española de Cardiología,ES,134
"Research Grants Council, University Grants Committee",HK,132
Fundación Mutua Madrileña,ES,132
Fundación Séneca,ES,132
Villum Fonden,DK,132
National Research Foundation,ZA,131
Joint Institute for Nuclear Research,RU,131
ZonMw,NL,131
Eidgenössische Technische Hochschule Zürich,CH,130
"Departament d'Empresa i Coneixement, Generalitat de Catalunya",ES,130
Ministry of Economy,IL,129
Higher Education Funding Council for England,GB,129
Universitat Pompeu Fabra,ES,127
Fundación Bancaria Caixa d'Estalvis i Pensions de Barcelona,ES,127
Lundbeckfonden,DK,126
Gordon and Betty Moore Foundation,US,126
British Columbia Knowledge Development Fund,CA,125
University College London,GB,121
Institut National de Physique Nucléaire et de Physique des Particules,FR,119
Agència per a la Competitivitat de l’Empresa,ES,119
F. Hoffmann-La Roche,CH,118
"Ministério da Ciência, Tecnologia e Inovação",BR,118
Sociedad Española de Medicina de Familia y Comunitaria,ES,118
Deutsche Krebshilfe,DE,118
Basic Energy Sciences,US,117
Ohio State University,US,116
University of Chicago,US,116
Canarie,CA,116
AXA Research Fund,FR,115
Ministerstvo Průmyslu a Obchodu,CZ,114
British Heart Foundation,GB,113
Ligue Contre le Cancer,FR,113
United States-Israel Binational Science Foundation,IL,111
National Institute of Diabetes and Digestive and Kidney Diseases,US,111
"Consejería de Economía, Innovación, Ciencia y Empleo, Junta de Andalucía",ES,111
Simons Foundation,US,110
Spanish National Plan for Scientific and Technical Research and Innovation,ES,108
European Molecular Biology Organization,DE,107
Junta de Castilla y León,ES,106
Comisión Interministerial de Ciencia y Tecnología,ES,106
University of Pennsylvania,US,106
"Department of Science and Technology, Republic of South Africa",ZA,105
Novo Nordisk Fonden,DK,105
University of Nottingham,GB,104
Celgene,US,104
FUNDACIÓ Privada MIR-PUIG,ES,104
Economic and Social Research Council,GB,104
Deutscher Akademischer Austauschdienst,DE,104
Karlsruhe Institute of Technology,DE,103
"Consejería de Educación, Junta de Castilla y León",ES,102
Stichting voor Fundamenteel Onderzoek der Materie,NL,102
Bayer,DE,102
