DOI,display_name,author_order,author_position,is_corresponding,institution_id,COUNTRY_CODE,CERCA,Center,first_name,gender
10.1007/s40574-021-00294-5,Miguel Ángel Barja,1.0,first,True,4210122226.0,ES,True,CRM,Miguel,male
10.1007/s00209-024-03564-y,Michele Fornea,1.0,first,True,4210122226.0,ES,True,CRM,Michele,female
10.1016/j.scitotenv.2022.159202,Meritxell Gros,1.0,first,True,251424209.0,ES,True,ICRA,Meritxell,unknown
10.1016/bs.coac.2021.01.005,María José Farré,1.0,first,True,251424209.0,ES,True,ICRA,María,mostly_female
10.1016/j.jat.2023.105985,Martí Prats,1.0,first,True,123044942.0,ES,True,CRM,Martí,unknown
10.1109/tcbb.2021.3101278,Marta Casanellas,1.0,first,False,4210122226.0,ES,True,CRM,Marta,female
10.1016/j.scitotenv.2023.162818,Marko Rožman,1.0,first,True,4210123216.0,HR,True,ICRA,Marko,male
10.1002/evl3.306,Marie Rescan,1.0,first,False,4210107247.0,FR,True,ICRA,Marie,female
10.3389/fphys.2021.761411,Maria Cabello,2.0,middle,False,4210122226.0,ES,True,CRM,Maria,female
10.4171/jems/1200,Marcel Guàrdia,1.0,first,False,9617848.0,ES,True,CRM,Marcel,male
10.1007/s12064-023-00411-2,Marc Jorba-Cuscó,1.0,first,False,4210122226.0,ES,True,CRM,Marc,male
10.1038/s41467-024-53586-7,Manuel Molano‐Mazón,1.0,first,True,4210122226.0,ES,True,CRM,Manuel,male
10.1038/s41467-022-31423-z,Maite Pijuan,30.0,middle,False,2799562678.0,ES,True,ICRA,Maite,female
10.1016/j.chemosphere.2024.143806,M. Isabel Cadena-Aizaga,7.0,middle,False,2799562678.0,ES,True,ICRA,M.,unknown
10.1016/j.mex.2023.102143,Lúcia H.M.L.M. Santos,1.0,first,True,251424209.0,ES,True,ICRA,Lúcia,female
10.1512/iumj.2022.71.8937,Léo Bénard,1.0,first,False,123044942.0,ES,True,CRM,Léo,mostly_male
10.1016/j.watres.2021.117492,Luis Baptista‐Pires,1.0,first,False,251424209.0,ES,True,ICRA,Luis,male
10.1016/j.apm.2024.03.023,Lucy C. Auton,1.0,first,False,4210122226.0,ES,True,CRM,Lucy,female
10.1016/j.chemosphere.2024.143806,Lucia-Roxana Cojoc,1.0,first,False,251424209.0,ES,True,ICRA,Lucia-Roxana,unknown
10.1016/j.scitotenv.2022.159200,Lucia Gusmaroli,3.0,middle,False,251424209.0,ES,True,ICRA,Lucia,female
10.1016/j.scitotenv.2024.170993,Lucas L. Alonso,1.0,first,True,166401450.0,AR,True,ICRA,Lucas,male
10.1007/s11253-024-02305-y,Lluı́s Alsedà,1.0,first,True,123044942.0,ES,True,CRM,Lluı́s,unknown
10.1038/s41598-022-20957-3,Lluís Corominas,39.0,middle,False,251424209.0,ES,True,ICRA,Lluís,unknown
10.1038/s41598-022-20957-3,Laura Guerrero‐Latorre,1.0,first,False,2799562678.0,ES,True,ICRA,Laura,female
10.1186/s12302-024-00938-1,Laia Estrada,2.0,middle,False,251424209.0,ES,True,ICRA,Laia,female
10.1016/j.scitotenv.2020.142344,Ladislav Mandarić,17.0,middle,False,2799562678.0,ES,True,ICRA,Ladislav,male
10.1007/s00041-023-10039-x,Kristina Oganesyan,1.0,first,True,123044942.0,ES,True,CRM,Kristina,female
10.1111/ejn.15964,Klaus Wimmer,2.0,middle,False,4210122226.0,ES,True,CRM,Klaus,male
10.1080/20442041.2019.1608115,Júlio C. López-Doval,25.0,middle,False,2799562678.0,ES,True,ICRA,Júlio,male
10.1016/j.envint.2022.107077,Jèssica Subirats,2.0,middle,False,251424209.0,ES,True,ICRA,Jèssica,unknown
10.2140/pjm.2023.326.285,Julià Cufí,1.0,first,False,123044942.0,ES,True,CRM,Julià,unknown
10.1016/j.laa.2022.05.003,Juanjo Rué,1.0,first,True,4210091183.0,ES,True,CRM,Juanjo,unknown
10.1093/imrn/rnac059,Juan Jesús Donaire,1.0,first,False,4210122226.0,ES,True,CRM,Juan,male
10.1016/j.envint.2023.108175,José Luís Balcázar,2.0,middle,False,251424209.0,ES,True,ICRA,José,male
10.1038/s41598-022-20957-3,Josep Pueyo‐Ros,33.0,middle,False,251424209.0,ES,True,ICRA,Josep,male
10.1073/pnas.2214441119,Jose M. Esnaola-Acebes,1.0,first,False,4210122226.0,ES,True,CRM,Jose,male
10.1038/s43247-021-00192-w,Jordi‐René Mor,25.0,middle,False,71999127.0,ES,True,ICRA,Jordi‐René,unknown
10.1007/s00209-023-03232-7,Jordi Canela,1.0,first,True,10902133.0,ES,True,CRM,Jordi,male
10.12688/openreseurope.16054.2,Joaquím Comas,2.0,middle,False,251424209.0,ES,True,ICRA,Joaquím,unknown
10.1016/j.jwpe.2024.105992,Joaquim Comas,2.0,middle,False,2799562678.0,ES,True,ICRA,Joaquim,male
10.3390/w13162165,Joana A. C. Castellar,17.0,middle,False,251424209.0,ES,True,ICRA,Joana,female
10.1103/physreve.107.064113,Joan del Castillo,1.0,first,False,123044942.0,ES,True,CRM,Joan,female
10.1016/j.aim.2021.107693,Joachim Kock,1.0,first,True,4210122226.0,ES,True,CRM,Joachim,male
10.1029/2023jd040666,Jezabel Curbelo,1.0,first,True,9617848.0,ES,True,CRM,Jezabel,unknown
10.1007/698_2021_757,Jelena Radjenović,1.0,first,False,2799562678.0,ES,True,ICRA,Jelena,female
10.1098/rsta.2021.0045,Javier Gómez-Serrano,1.0,first,True,27804330.0,US,True,CRM,Javier,mostly_male
10.1016/j.cnsns.2022.106511,Jaume Llibre,3.0,last,False,123044942.0,ES,True,CRM,Jaume,male
10.1016/j.envsoft.2024.106049,Janick Klink,1.0,first,False,251424209.0,ES,True,ICRA,Janick,andy
10.1016/j.jhazmat.2023.131904,J.M. Castaño-Ortiz,1.0,first,True,2799562678.0,ES,True,ICRA,J.M.,unknown
10.3934/dcds.2022005,J. M. Burgués,1.0,first,False,123044942.0,ES,True,CRM,J.,unknown
10.1016/j.jde.2021.05.013,Iván Sánchez-Sánchez,1.0,first,True,123044942.0,ES,True,CRM,Iván,male
10.1016/j.scitotenv.2022.157309,Ivan Senta,1.0,first,True,2799562678.0,ES,True,ICRA,Ivan,male
10.1016/j.scitotenv.2021.150308,Isabel Serra,2.0,middle,False,2799803557.0,ES,True,CRM,Isabel,female
10.1002/bies.202200205,Isaac Salazar‐Ciudad,1.0,first,True,123044942.0,ES,True,CRM,Isaac,male
10.1017/fms.2024.42,Irene Spelta,3.0,last,False,4210122226.0,ES,True,CRM,Irene,female
10.1016/j.aim.2023.109218,Inmaculada Baldomá,1.0,first,False,9617848.0,ES,True,CRM,Inmaculada,female
10.1142/s0129167x2441012x,Ignasi Mundet i Riera,1.0,first,True,71999127.0,ES,True,CRM,Ignasi,male
10.1016/j.scitotenv.2023.167811,Ian Zammit,1.0,first,False,2799562678.0,ES,True,ICRA,Ian,male
10.1307/mmj/20217221,Henri Darmon,1.0,first,False,40036882.0,US,True,CRM,Henri,male
10.1214/23-aap1955,Guillem Perarnau,3.0,middle,False,4210122226.0,ES,True,CRM,Guillem,male
10.1016/j.cej.2020.126657,Giulia Gionchetta,1.0,first,False,2799562678.0,ES,True,ICRA,Giulia,female
10.1007/s00208-024-02929-2,Gil Solanes,1.0,first,False,123044942.0,ES,True,CRM,Gil,male
10.1016/j.cej.2021.132772,Giannis-Florjan Norra,1.0,first,False,2799562678.0,ES,True,ICRA,Giannis-Florjan,unknown
10.1007/s11356-020-11125-z,Gianluigi Buttiglieri,2.0,middle,False,2799562678.0,ES,True,ICRA,Gianluigi,male
10.1038/s41467-021-21501-z,Genís Prat-Ortega,1.0,first,False,4210160192.0,ES,True,CRM,Genís,unknown
10.1002/adsu.202100119,Francis M. dela Rosa,1.0,first,False,2799562678.0,ES,True,ICRA,Francis,male
10.1007/s00208-022-02535-0,Francesc Fité,1.0,first,True,71999127.0,ES,True,CRM,Francesc,male
10.1002/cpa.22191,Filippo Giuliani,1.0,first,True,93860229.0,IT,True,CRM,Filippo,male
10.1063/5.0166650,Filip Ivančić,2.0,middle,False,4210122226.0,ES,True,CRM,Filip,male
10.1038/s43247-021-00192-w,Ferran Romero,33.0,middle,False,4210116314.0,DE,True,ICRA,Ferran,male
10.1016/j.watres.2022.118504,Federico Ferrari,1.0,first,False,2799562678.0,ES,True,ICRA,Federico,male
10.1098/rspa.2023.0499,Eva Miranda,2.0,middle,True,9617848.0,ES,True,CRM,Eva,female
10.2166/bgs.2024.051,Esther Mendoza,1.0,first,True,2799562678.0,ES,True,ICRA,Esther,female
10.1142/s0218127424500457,Ernest Fontich,1.0,first,False,71999127.0,ES,True,CRM,Ernest,male
10.46298/epiga.2023.9962,Elisabetta Colombo,1.0,first,False,71999127.0,ES,True,CRM,Elisabetta,female
10.1016/j.cej.2022.137057,Elisabeth Cuervo Lumbaque,1.0,first,False,251424209.0,ES,True,ICRA,Elisabeth,female
10.1007/s10750-022-04829-5,Elisabet Tornés,1.0,first,False,2799562678.0,ES,True,ICRA,Elisabet,female
10.1016/j.mex.2024.102589,Elisa García-Gómez,1.0,first,False,2799562678.0,ES,True,ICRA,Elisa,female
10.1039/d1ew00788b,Elias Munthali,1.0,first,True,4210107786.0,NL,True,ICRA,Elias,male
10.1016/j.mex.2023.102257,Edwin Chingate,1.0,first,True,62916508.0,DE,True,ICRA,Edwin,male
10.1007/s00253-021-11432-6,Edgar González-Villalobos,1.0,first,False,59361560.0,MX,True,ICRA,Edgar,male
10.1016/j.chemosphere.2023.140296,E. García-Gómez,1.0,first,False,251424209.0,ES,True,ICRA,E.,unknown
10.1016/j.ecolind.2022.108693,Dídac Jorda‐Capdevila,20.0,last,False,2799562678.0,ES,True,ICRA,Dídac,male
10.1038/s41598-022-24331-1,Dorota Młynarczyk,1.0,first,False,123044942.0,ES,True,CRM,Dorota,female
10.1515/forum-2024-0031,Dolors Herbera,1.0,first,True,4210122226.0,ES,True,CRM,Dolors,female
10.1016/j.teac.2021.e00132,Diana Álvarez‐Muñoz,2.0,middle,True,251424209.0,ES,True,ICRA,Diana,female
10.1186/s12874-020-01188-4,David Moriña,1.0,first,True,71999127.0,ES,True,CRM,David,male
10.1002/wsbm.1634,Daria Stepanova,1.0,first,True,4210127550.0,ES,True,CRM,Daria,female
10.5194/gmd-17-1-2024,Daniel Mercado‐Bettín,57.0,middle,False,4210125903.0,US,True,ICRA,Daniel,male
10.1186/s12302-022-00602-6,Damià Barceló i Cullerés,2.0,middle,False,2799562678.0,ES,True,ICRA,Damià,unknown
10.1016/s0166-526x(21)00092-1,D. Barceló,1.0,first,True,4210143256.0,ES,True,ICRA,D.,unknown
10.1016/j.jhazmat.2021.125231,Cristina Ávila,1.0,first,False,4210121376.0,ES,True,ICRA,Cristina,female
10.1016/j.ijheatmasstransfer.2020.120643,Claudia Fanelli,1.0,first,False,9617848.0,ES,True,CRM,Claudia,female
10.1016/j.jde.2024.03.030,Clara Cufí-Cabré,1.0,first,True,123044942.0,ES,True,CRM,Clara,female
10.2140/apde.2021.14.717,Carmelo Puliatti,2.0,middle,False,4210091183.0,ES,True,CRM,Carmelo,male
10.1090/proc/16534,Carme Cascante,1.0,first,False,71999127.0,ES,True,CRM,Carme,female
10.1016/j.jalgebra.2023.07.018,Carlos D’Andrea,1.0,first,True,4210122226.0,ES,True,CRM,Carlos,male
10.1038/s41598-022-20957-3,Carles Borrego,40.0,last,True,251424209.0,ES,True,ICRA,Carles,male
10.1007/s12220-024-01666-x,Bruno Poggi,2.0,middle,False,123044942.0,ES,True,CRM,Bruno,male
10.1038/s41467-021-24695-4,Blai Vidiella,1.0,first,False,170486558.0,ES,True,CRM,Blai,unknown
10.1016/j.chemosphere.2022.133606,Barbara Topolovec,1.0,first,False,2799562678.0,ES,True,ICRA,Barbara,female
10.1016/j.matpur.2022.03.003,Artur Nicolau,1.0,first,True,123044942.0,ES,True,CRM,Artur,male
10.1016/j.exmath.2021.06.001,Armengol Gasull,1.0,first,True,123044942.0,ES,True,CRM,Armengol,unknown
10.1016/j.scitotenv.2021.146800,Arianna Musacchio,1.0,first,True,25217355.0,IT,True,ICRA,Arianna,female
10.1016/j.jneuroling.2022.101086,Antoni Guillamon,2.0,middle,False,4210122226.0,ES,True,CRM,Antoni,male
10.1038/s43247-021-00192-w,Anna Freixa,38.0,middle,False,2799562678.0,ES,True,ICRA,Anna,female
10.1109/iccv51070.2023.00347,Angélica Torres,3.0,last,False,4210122226.0,ES,True,CRM,Angélica,female
