DOI,display_name,author_order,author_position,is_corresponding,institution_id,COUNTRY_CODE,CERCA,Center,first_name,gender
10.1016/j.foreco.2023.121475,Luis Serrano,3.0,middle,False,15766328.0,ES,True,CTFC,Luis,male
10.1111/1365-2745.14433,Lluís Coll,5.0,last,False,15766328.0,ES,True,CTFC,Lluís,unknown
10.1016/j.fgb.2024.103937,Laura Vilanova,1.0,first,False,4210117018.0,ES,True,CTFC,Laura,female
10.1016/j.jenvman.2022.116134,Lauma Elza Miezïte,1.0,first,False,15766328.0,ES,True,CTFC,Lauma,female
10.13157/arla.70.2.2023.ra1,Lara Moreno‐Zarate,2.0,middle,False,4210117018.0,ES,True,CTFC,Lara,female
10.1371/journal.pone.0256918,LIuis Brotons,3.0,middle,True,4210117018.0,ES,True,CTFC,LIuis,unknown
10.5424/fs/2021301-17519,Juán Martínez de Aragón,6.0,middle,False,4210124726.0,CZ,True,CTFC,Juán,unknown
10.1111/gcb.15745,Julia Ramsauer,2.0,middle,False,4210117018.0,ES,True,CTFC,Julia,female
10.1038/s41586-021-03292-x,José Ramón González‐Olabarria,16.0,middle,False,,,True,CTFC,José,male
10.1016/j.ecolind.2021.107362,Josu G. Alday,7.0,middle,False,15766328.0,ES,True,CTFC,Josu,female
10.1016/j.foreco.2022.120674,Josep Oliveras,4.0,middle,False,15766328.0,ES,True,CTFC,Josep,male
10.3390/f12081093,Jorge del Castillo,3.0,middle,False,15766328.0,ES,True,CTFC,Jorge,male
10.1111/ejss.13290,Jordi Garcia‐Pausas,1.0,first,True,71999127.0,ES,True,CTFC,Jordi,male
10.3390/jof9090926,Jonàs Oliva,7.0,middle,False,15766328.0,ES,True,CTFC,Jonàs,unknown
10.1016/j.foreco.2022.120526,Jesús García,2.0,middle,False,15766328.0,ES,True,CTFC,Jesús,mostly_male
10.1007/s10342-020-01319-y,Javier de-Dios-García,16.0,middle,False,4210117018.0,ES,True,CTFC,Javier,mostly_male
10.1007/s13593-023-00927-3,Jaime Coello,3.0,middle,False,4210117018.0,ES,True,CTFC,Jaime,male
10.1016/j.forpol.2022.102849,Irina Prokofieva,10.0,middle,False,4210117018.0,ES,True,CTFC,Irina,female
10.3390/f13010088,Irene Adamo,1.0,first,False,15766328.0,ES,True,CTFC,Irene,female
10.3390/f13050808,Ibtissem Taghouti,1.0,first,True,4210121602.0,TN,True,CTFC,Ibtissem,female
10.3389/fevo.2021.611563,Gérard Bota,5.0,last,False,4210117018.0,ES,True,CTFC,Gérard,male
10.1007/s10980-024-01996-9,Goran Krsnik,1.0,first,False,4210117018.0,ES,True,CTFC,Goran,male
10.3390/f15020246,Gianni Picchi,3.0,last,True,4210117018.0,ES,True,CTFC,Gianni,male
10.1016/j.scitotenv.2022.159860,Giada Centenaro,1.0,first,True,15766328.0,ES,True,CTFC,Giada,female
10.3390/f15020246,Gerard Alcoverro,1.0,first,False,,,True,CTFC,Gerard,male
10.1002/esp.5027,Gemma Piqué,2.0,middle,False,130474213.0,CL,True,CTFC,Gemma,female
10.1016/j.scitotenv.2023.161798,Frederic Casals,24.0,middle,False,4210117018.0,ES,True,CTFC,Frederic,male
10.3390/jof8101095,Francisco Arenas,1.0,first,False,80180929.0,ES,True,CTFC,Francisco,male
10.5424/fs/2021301-17519,Francesc Bolaño,5.0,middle,False,4210124726.0,CZ,True,CTFC,Francesc,male
